255,255,410,411,412,411,413,414,415,255,255,255,416,417,418,413
280,269,7,7,7,7,419,420,414,415,255,410,420,410,421,420
7,422,423,7,422,424,7,7,425,426,419,422,423,7,7,422
427,428,429,427,428,430,431,19,7,7,84,2,429,427,431,428
432,433,434,417,418,435,7,7,7,7,7,436,437,417,418,438
414,439,255,255,440,441,318,7,7,7,442,443,414,415,440,440
444,414,445,413,255,255,410,7,7,7,7,419,420,446,415,440
447,448,412,425,449,269,7,422,423,7,7,7,7,425,426,450
0,0,427,451,452,7,84,2,453,454,0,427,0,427,431,0
432,417,418,435,7,7,455,436,456,457,458,432,433,459,432,433
444,255,440,441,318,460,461,462,255,255,255,255,255,414,463,464
414,415,465,415,466,255,444,467,468,469,463,439,439,470,471,414
472,413,473,443,474,464,475,416,417,418,413,471,255,255,476,414
477,425,478,469,479,480,481,414,482,440,443,483,484,485,486,426
7,7,487,411,477,7,7,425,488,469,410,489,490,491,492,7
7,7,7,7,7,7,7,7,493,412,7,494,495,496,497,7
7,7,7,7,7,7,7,7,7,7,498,499,500,501,502,503
7,7,7,7,7,7,7,7,7,7,504,505,506,507,508,509
7,7,7,7,7,7,7,7,7,7,510,511,512,513,514,7
7,7,7,7,7,7,7,7,7,7,515,516,517,518,519,520
521,522,523,524,525,521,522,523,524,525,526,527,528,529,530,531
532,533,534,535,536,532,533,537,538,536,532,533,534,535,536,532
539,540,541,542,543,539,540,544,545,543,539,540,541,542,543,539
