0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,2,2,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,2,2,0
0,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,1
1,4,4,5,6,7,4,8,4,9,4,4,4,5,6,7,4,8,4,9,4,4,4,5,6,7,4,8,4,9,4,0
0,10,10,11,12,13,14,15,16,17,18,10,10,11,12,13,14,15,16,17,18,10,10,11,12,13,14,15,16,17,18,1
1,10,19,10,20,21,10,10,22,23,24,10,19,10,20,21,10,10,22,23,24,10,19,10,20,21,10,10,22,23,24,0
0,25,26,27,10,10,10,10,10,10,28,25,26,27,10,10,10,10,10,10,28,25,26,27,10,10,10,10,10,10,28,1
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
