3,3,3,3,3,3,3,3,3,3,432,433,434,433,435,436,433,437
3,3,3,3,3,3,3,3,3,3,438,439,440,441,433,433,442,443
3,3,3,444,3,3,3,3,3,3,3,3,3,445,433,446,443,447
3,3,3,448,3,3,3,3,3,3,3,3,3,438,449,450,451,443
452,453,454,455,454,453,456,3,3,3,3,3,3,3,3,457,458,459
460,461,462,463,443,443,464,465,466,467,3,3,3,3,3,468,459,469
470,458,459,471,472,473,474,475,449,476,3,3,3,3,3,477,478,479
480,481,469,482,3,3,3,3,3,3,3,3,3,3,3,483,451,443
451,484,485,486,3,3,3,3,3,3,3,3,3,3,3,457,487,451
451,451,488,3,3,3,3,489,456,3,3,3,3,489,453,490,491,492
493,451,494,3,3,3,3,495,496,3,3,3,3,457,492,497,443,498
443,451,494,3,3,3,3,457,464,454,452,455,453,490,451,458,499,433
500,501,494,3,3,3,3,457,470,493,502,443,458,451,503,451,492,504
461,462,460,456,3,3,3,495,492,480,505,506,507,508,509,510,511,470
512,451,505,513,3,3,3,457,505,514,513,3,3,3,3,3,457,443
515,470,516,3,3,3,3,468,496,3,3,3,3,3,444,3,517,451
492,498,518,3,3,3,3,477,516,3,3,3,3,3,448,3,519,520
521,433,522,3,3,3,3,445,482,3,3,3,3,523,524,454,525,526
493,504,527,120,121,120,121,438,476,120,121,120,121,445,446,528,529,530
531,532,488,3,3,3,3,3,3,3,3,533,534,535,536,451,487,537
538,515,539,3,3,533,534,540,3,3,3,541,542,543,544,492,491,545
460,461,462,456,3,541,542,542,546,523,524,547,548,549,526,550,551,552
553,544,443,554,452,453,452,455,453,525,446,555,556,557,558,559,560,561
556,443,451,562,443,502,550,551,563,551,443,564,538,531,551,545,565,532
538,556,443,562,565,566,567,568,567,560,458,443,564,569,570,571,538,538
