0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,160,160,161,160,162,162,162,162,162,162,162,162,162,162,162
163,164,163,165,166,167,167,167,167,167,167,167,168,169,170,169
171,172,173,174,175,176,177,178,179,177,178,180,181,182,172,182
183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,196
198,199,198,199,198,199,198,199,198,199,198,199,198,199,198,199
