67,67,122,330,1,137,137,331,1,137,137,137,137,137,332,333
67,334,1,137,60,3,335,200,60,336,3,3,337,338,339,340
122,341,60,3,3,3,3,3,3,3,3,3,342,343,192,344
49,170,345,3,3,3,3,3,3,3,3,3,3,346,171,330
165,158,347,3,3,3,3,3,3,3,3,3,3,335,192,260
196,170,336,3,3,3,3,3,3,3,3,3,65,3,192,330
330,119,348,128,3,3,3,128,128,128,3,3,69,3,192,349
49,50,350,3,3,3,3,3,3,3,3,221,98,97,351,352
63,64,3,128,3,89,93,94,95,96,97,351,124,125,353,354
67,68,3,3,3,129,22,130,131,132,133,34,355,330,356,357
358,359,360,128,3,3,3,3,3,3,3,3,200,21,361,260
330,362,363,364,3,3,3,3,3,3,3,3,3,3,192,365
330,366,367,368,348,3,3,3,3,3,3,3,3,3,171,330
183,184,366,369,88,3,3,3,3,3,3,3,3,3,171,161
370,371,372,373,374,88,3,3,3,3,3,3,3,3,375,305
376,260,377,378,272,366,379,380,381,382,383,128,384,128,171,294
385,386,387,14,388,389,390,391,392,22,393,3,394,3,171,395
67,16,22,393,3,3,3,3,3,3,3,3,396,3,375,397
398,399,336,3,3,3,3,3,3,3,3,3,400,3,171,330
401,170,3,65,3,3,3,3,3,402,345,3,403,3,192,271
404,170,3,69,3,3,3,3,405,338,347,89,90,98,351,406
407,273,97,408,409,88,410,411,221,97,369,102,122,260,49,412
48,407,310,320,413,273,97,97,351,260,397,271,414,307,237,415
48,416,417,48,407,271,161,330,272,271,305,306,320,327,418,48
