id,solid,oneway,water,ladder,star_block,slope,gx,gy
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,2,0
3,1,0,0,0,0,0,3,0
4,1,0,0,0,0,0,4,0
5,1,0,0,0,0,0,5,0
6,1,0,0,0,0,0,6,0
7,0,0,0,0,0,0,7,0
8,0,0,0,0,0,0,8,0
9,0,0,0,0,0,0,9,0
10,0,0,0,0,0,0,10,0
11,1,0,0,0,0,0,11,0
12,1,0,0,0,0,0,12,0
13,0,0,0,0,0,0,13,0
14,0,0,0,0,0,0,14,0
15,0,0,0,0,0,0,15,0
16,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,1,1
18,0,0,0,0,0,0,2,1
19,0,0,0,0,0,0,3,1
20,0,0,0,0,0,0,4,1
21,0,0,0,0,0,0,5,1
22,0,0,0,0,0,0,6,1
23,0,0,0,0,0,0,7,1
24,1,0,0,0,0,0,8,1
25,1,0,0,0,0,0,9,1
26,0,0,0,0,0,0,10,1
27,0,0,0,0,0,0,11,1
28,0,0,0,0,0,0,12,1
29,0,0,0,0,0,0,13,1
30,0,0,0,0,0,0,14,1
31,0,0,0,0,0,0,15,1
32,0,0,0,0,0,0,0,2
33,0,0,0,0,0,0,1,2
34,0,0,0,0,0,0,2,2
35,0,0,0,0,0,0,3,2
36,1,0,0,0,0,0,4,2
37,1,0,0,0,0,0,5,2
38,1,0,0,0,0,0,6,2
39,1,0,0,0,0,0,7,2
40,1,0,0,0,0,0,8,2
41,1,0,0,0,0,0,9,2
42,1,0,0,0,0,0,10,2
43,1,0,0,0,0,0,11,2
44,1,0,0,0,0,0,12,2
45,1,0,0,0,0,0,13,2
46,1,0,0,0,0,0,14,2
47,1,0,0,0,0,0,15,2
48,1,0,0,0,0,0,0,3
49,1,0,0,0,0,0,1,3
50,1,0,0,0,0,0,2,3
51,1,0,0,0,0,0,3,3
52,1,0,0,0,0,0,4,3
53,1,0,0,0,0,0,5,3
54,1,0,0,0,0,0,6,3
55,1,0,0,0,0,0,7,3
56,1,0,0,0,0,0,8,3
57,1,0,0,0,0,0,9,3
58,1,0,0,0,0,0,10,3
59,1,0,0,0,0,0,11,3
60,1,0,0,0,0,0,12,3
61,1,0,0,0,0,0,13,3
62,1,0,0,0,0,0,14,3
63,1,0,0,0,0,0,15,3
64,1,0,0,0,0,0,0,4
65,1,0,0,0,0,0,1,4
66,1,0,0,0,0,0,2,4
67,1,0,0,0,0,0,3,4
68,1,0,0,0,0,0,4,4
69,1,0,0,0,0,0,5,4
70,1,0,0,0,0,0,6,4
71,1,0,0,0,0,0,7,4
72,1,0,0,0,0,0,8,4
