0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,84
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,68,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,131,132,82,83
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,136,137,97,144
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,20,11,10,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,85,83,112,113
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,9,6,0,0,7,8,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,145,146,64,62,63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,33,36,17,9,11,2,3,0,12,13,11,2,3,0,0,0,0,0,0,31,148,129,0,0,0,12,149,150,149,143,84
0,0,45,46,47,0,0,1,6,0,0,0,0,0,151,131,152,49,51,11,16,17,4,5,18,19,20,9,4,5,0,0,1,6,0,0,48,50,133,134,129,0,19,20,153,11,68,69
42,55,56,57,58,43,32,33,59,60,42,43,61,41,154,136,137,92,114,37,40,34,35,38,61,40,34,35,40,38,130,32,33,59,60,130,62,63,155,156,157,32,33,40,44,37,82,83
50,49,72,50,49,53,50,49,53,50,73,74,75,49,158,85,83,84,80,49,53,50,49,49,53,50,53,50,73,74,75,49,53,50,49,50,76,90,91,63,159,50,53,50,73,74,97,144
63,71,86,87,88,89,90,63,70,69,93,94,95,70,69,63,71,63,66,142,63,71,92,160,161,162,163,164,165,166,167,168,69,63,71,86,76,70,69,86,87,88,89,90,93,94,112,113
