0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,7,8,0,0,0,0,0,0,0,0,0
0,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,9,10,9,0,0,0,0,0,0,0,0,0,0,0,0,11,12,4,13,14,9,10,9,0,0,0,15,0,0
16,13,14,13,9,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,16,0,0,0,10,9,10,14,13,0,0,0,0,1,17,18,19,20,2,0,0,0,0,1,20,21,22,23,20,11,24,25,26,27,17,18,19,28,29,30,31,21,22
32,26,27,26,19,33,21,22,23,28,23,34,35,20,21,22,23,20,36,4,34,32,28,29,30,33,17,18,27,26,35,20,34,35,36,37,38,39,40,4,20,34,35,20,36,41,42,42,43,43,44,45,12,43,42,42,42,37,38,39,46,47,48,49
38,39,50,41,43,43,43,43,51,52,43,42,41,41,42,43,43,43,44,53,42,37,38,39,46,47,48,49,54,55,56,50,41,42,44,57,58,58,59,12,42,41,42,43,44,60,60,45,61,61,62,63,61,61,64,65,62,57,66,67,68,69,69,70
58,58,62,71,72,73,74,75,76,77,78,64,65,62,45,61,79,80,62,60,60,57,66,67,68,69,81,82,83,70,58,62,60,60,84,45,61,61,79,80,62,60,60,45,62,63,71,85,86,79,72,73,74,75,76,77,78,61,87,88,89,90,91,61
61,92,93,94,95,96,97,95,98,99,100,76,77,61,92,93,94,100,101,102,62,103,87,88,89,104,90,91,61,61,61,61,62,60,60,45,92,93,94,100,101,102,59,61,92,93,94,105,106,107,108,96,97,95,98,99,100,101,78,90,91,89,24,61
