0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,9,10,9,0,0,0,0,0,0,0,0,0,0,0,0,11,12,4,13,14,9,10,9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,13,14,13,9,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,16,0,0,0,10,9,10,14,13,0,0,0,0,1,17,18,19,20,2,0,0,0,0,1,20,21,22,23,20,11,24,25,26,27,17,18,19,28,29,30,31,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,26,27,26,19,33,21,22,23,28,23,34,35,20,21,22,23,20,36,4,34,32,28,29,30,33,17,18,27,26,35,20,34,35,36,37,38,39,40,4,20,34,35,20,36,41,42,42,43,43,44,45,12,43,42,42,42,37,38,39,46,47,48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,39,50,41,43,43,43,43,51,52,43,42,41,41,42,43,43,43,44,53,42,37,38,39,46,47,48,49,54,55,56,50,41,42,44,57,58,58,59,12,42,41,42,43,44,60,60,45,61,61,62,63,61,61,64,65,62,57,66,67,68,69,69,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,62,71,72,73,74,75,76,77,78,64,65,62,45,61,79,80,62,60,60,57,66,67,68,69,81,82,83,70,58,62,60,60,84,45,61,61,79,80,62,60,60,45,62,63,71,85,86,79,72,73,74,75,76,77,78,61,87,88,89,90,91,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,92,93,94,95,96,97,95,98,99,100,76,77,61,92,93,94,100,101,102,62,103,87,88,89,104,90,91,61,61,61,61,62,60,60,45,92,93,94,100,101,102,59,61,92,93,94,105,106,107,108,96,97,95,98,99,100,101,78,90,91,89,24,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,43,110,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,112,113,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,9,11,60,45,114,110,111,0,0,0,0,0,0,0,0,10,9,0,0,0,1,115,31,20,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,2,0,1,17,18,19,11,60,60,84,112,113,109,0,0,0,0,0,0,1,18,19,2,0,0,117,118,118,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,10,9,10,9,10,9,0,14,13,0,0,0,0,1,20,2,0,0,0,0,0,0,7,14,1,2,0,1,21,22,23,36,4,0,36,37,38,39,50,119,60,60,45,114,110,0,7,16,0,1,20,36,47,48,120,0,0,121,122,123,124,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,17,18,19,33,17,18,19,34,27,26,35,21,22,23,36,41,4,28,29,30,2,0,1,116,27,36,4,0,125,38,38,50,44,126,0,5,57,58,58,62,59,127,59,128,84,129,20,116,32,20,36,43,44,90,91,25,20,34,35,28,29,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,51,52,43,37,38,39,40,43,47,48,50,41,43,43,44,59,12,51,52,43,4,0,3,43,41,44,126,0,130,58,58,60,84,131,0,11,45,61,61,79,78,61,61,61,59,12,43,43,51,52,44,59,84,45,61,12,37,38,39,46,47,48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,76,77,78,57,68,70,60,84,90,91,62,45,79,72,73,74,75,76,77,78,131,0,5,84,45,61,131,0,132,61,133,60,24,131,0,5,45,92,93,94,100,101,134,79,72,73,74,75,76,77,78,61,62,60,84,84,57,66,67,68,69,81,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0,66,66,66,66,66,0,66,66,66,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,4,0,0,0,0,0,0,0,0,0,135
0,0,0,0,0,0,0,8,0,0,1,2,0,0,136,0,0,0,0,0,0,7,16,0,0,0,8,0,0,0,0,0,0,0,0,1,2,0,0,1,115,2,0,0,1,20,36,4,0,0,8,7,0,0,1,20,2,0,0,0,0,8,0,0,0,0,0,5,60,126,0,0,0,0,8,7,0,0,0,137
10,0,0,0,0,0,0,14,0,1,36,4,0,0,0,0,0,0,0,0,1,116,32,2,0,7,14,0,0,0,0,0,0,1,2,3,4,0,0,117,118,138,0,0,3,41,44,126,0,0,14,13,0,0,3,41,4,0,0,0,7,14,0,0,0,0,0,5,119,126,0,10,9,10,14,13,0,0,10,139
33,21,22,23,28,23,34,27,2,3,44,126,0,9,10,9,0,1,20,2,3,41,41,4,1,116,27,28,29,30,21,22,23,36,4,5,126,2,0,121,122,140,0,1,11,60,84,126,1,34,27,26,35,2,5,119,126,1,20,20,116,27,20,21,22,23,2,11,59,131,1,33,17,18,27,26,35,21,33,141
43,43,43,51,52,43,42,41,4,5,84,126,1,17,18,19,2,3,41,4,5,60,59,131,3,37,38,39,40,43,47,48,50,44,126,11,142,4,1,21,22,23,2,36,44,60,103,131,3,41,41,41,41,4,11,60,126,3,41,37,38,39,40,47,48,50,41,44,84,126,3,41,43,43,41,43,43,43,43,143
73,74,75,76,77,78,64,65,6,11,45,131,36,37,38,39,120,5,119,126,11,60,84,126,5,57,68,70,60,84,90,91,62,84,126,11,45,131,36,37,38,39,120,5,84,103,61,131,5,60,45,64,65,25,11,60,126,5,60,57,68,70,60,90,91,62,103,61,62,126,5,45,61,61,144,72,73,74,75,145
96,97,95,98,99,100,76,77,25,11,45,131,5,57,58,58,131,11,60,126,11,60,45,131,11,45,89,84,90,91,89,24,61,59,131,11,45,131,5,57,58,58,131,11,45,79,78,131,11,71,75,76,77,131,11,45,131,11,60,45,89,90,91,89,24,61,133,24,133,126,5,24,92,93,94,95,96,97,95,146
